conversation_id,customer_tweet_id,support_tweet_id,created_at,customer_message,support_reply,char_length_customer,char_length_reply
UBER_0001,331432,331431,Sat Oct 07 17:44:47 +0000 2017,"getting a ride from Trafalgar Square has been awful. Driver was 5 min away for 20 min then cancelled on us, as did the backup driver",We're here to help! Send us a note via so our team can assist.,132,62
UBER_0002,460122,460121,Fri Dec 01 01:38:33 +0000 2017,Sending driver information. He is rated 5* but service is of 0*.,Sorry to hear about that! Can you please contact us via so our team can connect?,64,80
UBER_0003,242257,242255,Thu Oct 05 14:15:31 +0000 2017,I hopped out my uber and 10 seconds later saw him crash lmao damn I coulda caught that claim money 😭😂,We take this very seriously. Please send us a DM with your email address so we can connect ASAP.,101,96
UBER_0004,272530,272529,Fri Oct 06 03:12:55 +0000 2017,Verify Payment Information for days now. Even if I delete all cards and just PayPal.. Still the same.,"Happy to help, Josh. Please send us a DM with your account email address + details and we'll be in touch.",101,105
UBER_0005,477129,477128,Fri Dec 01 11:22:35 +0000 2017,How can I get the app to remember me? Keeps signing me out. Thanks!,Hi there! Please reach out to and fill out the 4 boxes at the bottom so we can get in touch.,67,92
UBER_0006,272755,272754,Fri Oct 06 03:40:01 +0000 2017,"I think I may have been inadvertently charged a fare on 9/28, how can I talk to someone on the phone?","In-app is the best way to connect, Kurtis! Please reach out at and we'll take a look.",101,85
UBER_0007,328124,328122,Sat Oct 07 17:11:06 +0000 2017,Because it states on application the term deposit inwas not sure if you must return and if you don't return if further charges apply?,You will not be required to return any items and won't be charged anything additional. Hope this helps!,133,103
UBER_0008,126417,126419,Fri Nov 24 03:27:30 +0000 2017,My reason of complaint is not listed there.So I need another alternative please.,Here to help! Please send us a note via,80,39
UBER_0009,303203,303201,Fri Oct 06 21:19:21 +0000 2017,I have DM’d you guys. Hopefully you can look into this.,Hi Dennis - go ahead and check your DM for further details!,55,59
UBER_0010,462584,462582,Fri Dec 01 02:41:33 +0000 2017,Is it ok to keep driving,"Thanks for reaching back out to us about this, Diane. Yes, its perfectly fine to continue driving if you want to. If you have any further questions please let us know.",24,167
UBER_0011,277497,277496,Mon Oct 30 18:23:40 +0000 2017,So why not just offer a option with just “questions” “comments” “inquiries”? My issue has nothing to do with a trip I took or an order.Foolish that Uber makes it hard just to ask a question.,Uber is currently not available in the Philippines. You are able to see this via the first link that was sent to you.,190,117
UBER_0012,496031,496030,Fri Dec 01 18:12:25 +0000 2017,I’ve DM’d you. Get at me quick this is not a drill.,"Hello, Victor. Our team has followed up with you via email regarding this matter. Our responses can be found both in-app via the Help tab and within the email address associated with your account. Please reply there directly and we will be sure to follow up with you.",51,267
UBER_0013,332860,332859,Sat Oct 07 18:59:18 +0000 2017,I clicked to use my credits when I ordered but I’ve been charged on my debit card #annoying,Sorry to hear about the trouble. Please reach out to us via DM so we can connect.,91,81
UBER_0014,72077,72076,Thu Nov 30 09:55:10 +0000 2017,"Not happy, we're given a discount for a very late order and the code expired with no expiration date shown",Here to help! Send us a note here; and our team will be able to help.,106,69
UBER_0015,129943,129942,Fri Nov 24 06:04:06 +0000 2017,"One of your cab driver stolen my phone, I have been trying to contact customer care services regarding this from yesterday morning, no positive response to me still now, really frustrated about this bad experience, a poor service from uber.",We absolutely want to follow up right away. Please send us a DM with your email address so we can connect.,240,106
UBER_0016,231252,231254,Thu Oct 05 09:20:05 +0000 2017,Respond to my dms you idiots,Hello! Thanks for your patience. Please check your DM for our reply.,28,68
UBER_0017,417888,417887,Tue Oct 10 04:02:20 +0000 2017,"DONE with your scams. Deleting my app for good after so many fake surges, long out of the way routes and rude drivers #hellolyft",We're so sorry about that! Please send us a DM with your email address with details so we can connect.,128,102
UBER_0018,287550,287549,Fri Oct 06 14:56:42 +0000 2017,at JFK accepted ride w 8 min arr time. then car sat for 20 minutes without moving. I txt n called no response. driver then cancelled.,"Hello Chris, here to help. Send us a note at so our team can connect.",133,69
UBER_0019,237673,237672,Wed Oct 04 04:36:33 +0000 2017,Que tal! solo me aparecen los viajes facturados anteriormente. Como le hago para facturar los viajes actuales? Saludos,"Hola Ismael, please DM us your email so we can look into this for you.",118,70
UBER_0020,481013,481012,Fri Dec 01 13:53:40 +0000 2017,can you fix the navigation for your drivers. I feel like my driver is lost and driving in circles,Send us a note here; and our team will be able to help!,97,55
