original_id,customer_message,support_reply,intent,escalation,reply_keywords,ground_truth_notes
UBER_0001,"getting a ride from Trafalgar Square has been awful. Driver was 5 min away for 20 min then cancelled on us, as did the backup driver",We're here to help! Send us a note via so our team can assist.,Pickup Problem,AUTO_HANDLE,"apologize, contact us, DM, trip details, team connect","Driver dispatch, no-show, or delayed arrival inquiry handled via standard assistance."
UBER_0002,Sending driver information. He is rated 5* but service is of 0*.,Sorry to hear about that! Can you please contact us via so our team can connect?,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0003,I hopped out my uber and 10 seconds later saw him crash lmao damn I coulda caught that claim money 😭😂,We take this very seriously. Please send us a DM with your email address so we can connect ASAP.,Safety Concern,ESCALATE,"safety, investigate, direct message, contact details, support team","Critical safety alert involving passenger safety, harassment, or physical accident requiring immediate human investigation."
UBER_0004,Verify Payment Information for days now. Even if I delete all cards and just PayPal.. Still the same.,"Happy to help, Josh. Please send us a DM with your account email address + details and we'll be in touch.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0005,How can I get the app to remember me? Keeps signing me out. Thanks!,Hi there! Please reach out to and fill out the 4 boxes at the bottom so we can get in touch.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0006,"I think I may have been inadvertently charged a fare on 9/28, how can I talk to someone on the phone?","In-app is the best way to connect, Kurtis! Please reach out at and we'll take a look.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0007,Because it states on application the term deposit inwas not sure if you must return and if you don't return if further charges apply?,You will not be required to return any items and won't be charged anything additional. Hope this helps!,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0008,My reason of complaint is not listed there.So I need another alternative please.,Here to help! Please send us a note via,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0009,I have DM’d you guys. Hopefully you can look into this.,Hi Dennis - go ahead and check your DM for further details!,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0010,Is it ok to keep driving,"Thanks for reaching back out to us about this, Diane. Yes, its perfectly fine to continue driving if you want to. If you have any further questions please let us know.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0011,So why not just offer a option with just “questions” “comments” “inquiries”? My issue has nothing to do with a trip I took or an order.Foolish that Uber makes it hard just to ask a question.,Uber is currently not available in the Philippines. You are able to see this via the first link that was sent to you.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0012,I’ve DM’d you. Get at me quick this is not a drill.,"Hello, Victor. Our team has followed up with you via email regarding this matter. Our responses can be found both in-app via the Help tab and within the email address associated with your account. Please reply there directly and we will be sure to follow up with you.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0013,I clicked to use my credits when I ordered but I’ve been charged on my debit card #annoying,Sorry to hear about the trouble. Please reach out to us via DM so we can connect.,Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
UBER_0014,"Not happy, we're given a discount for a very late order and the code expired with no expiration date shown",Here to help! Send us a note here; and our team will be able to help.,App Technical Issue,AUTO_HANDLE,"update app, restart, clear cache, promo details, support note","Technical app bug, UI crash, or promo code application error."
UBER_0015,"One of your cab driver stolen my phone, I have been trying to contact customer care services regarding this from yesterday morning, no positive response to me still now, really frustrated about this bad experience, a poor service from uber.",We absolutely want to follow up right away. Please send us a DM with your email address so we can connect.,Lost Item,AUTO_HANDLE,"help section, lost item, driver contact, app, retrieve",Standard self-service lost item retrieval workflow via Uber app Help section.
UBER_0016,Respond to my dms you idiots,Hello! Thanks for your patience. Please check your DM for our reply.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0017,"DONE with your scams. Deleting my app for good after so many fake surges, long out of the way routes and rude drivers #hellolyft",We're so sorry about that! Please send us a DM with your email address with details so we can connect.,Driver Complaint,ESCALATE,"driver feedback, safety team, apologize, report, DM",Interpersonal conduct or quality complaint against driver partner requiring review.
UBER_0018,at JFK accepted ride w 8 min arr time. then car sat for 20 minutes without moving. I txt n called no response. driver then cancelled.,"Hello Chris, here to help. Send us a note at so our team can connect.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0019,Que tal! solo me aparecen los viajes facturados anteriormente. Como le hago para facturar los viajes actuales? Saludos,"Hola Ismael, please DM us your email so we can look into this for you.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0020,can you fix the navigation for your drivers. I feel like my driver is lost and driving in circles,Send us a note here; and our team will be able to help!,Drop-off / Route Issue,AUTO_HANDLE,"route review, trip history, fare review, DM",Inefficient route or incorrect drop-off location report.
UBER_0021,You should be able to cancel free of charge when the driver is 3x longer than ETA,"Here to help! Send us a note here, and our team will follow up.",Refund Request,ESCALATE,"refund, review, trip details, fare adjustment, DM",Explicit demand for monetary refund or fee reversal requiring billing team action.
UBER_0022,My girlfriend and I have been having nothing but problems with you guys. Have $100 in gift cards that we aren't able to use. Keep getting error messages and its a brand new account. Have messaged support 3 times with no response. SOS,We can definitely take a look! Send us a DM (Direct Message) with your email address and details so we can follow up.,Account Access / Security,ESCALATE,"account email, phone number, sign in, verify, DM","Account credentials, lockouts, or security issues requiring human agent identity verification."
UBER_0023,This was last Friday and you return 25 percent credit whereas I should have received full refund for a ride which never happened,Sorry to hear about what happened. Kindly send us a note here; and our team will connect right away.,Refund Request,ESCALATE,"refund, review, trip details, fare adjustment, DM",Explicit demand for monetary refund or fee reversal requiring billing team action.
UBER_0024,fix your support center. I was charged a cancellation fee of $35 and there was a trip when I didn't take one.,Let's take a closer look! Send us a note via so our team can follow up.,Refund Request,ESCALATE,"refund, review, trip details, fare adjustment, DM",Explicit demand for monetary refund or fee reversal requiring billing team action.
UBER_0025,Your drivers are getting worse by the day. Taking ridiculously long routes on purpose is not the 'good service' you claim to offer.,Here to help! Send us a note at so our team can connect.,Drop-off / Route Issue,AUTO_HANDLE,"route review, trip history, fare review, DM",Inefficient route or incorrect drop-off location report.
UBER_0026,"Love it when you order , the restaurant screw up your order and when you call the restaurant they tell you you shouldn’t have gone through before hanging up on you...",Here to help! Send us a note via so we can connect.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0027,Is a real person running your support team? Because I seem to get the same message everytime I get an email. No real solution.,We've been in touch via DM!,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0028,"...so I just got the notification for a ""route pass"". Im pissed. What happened to the Ride passes?",Please DM us your Uber account email address so we can follow up.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0029,I travelled in Uber from Bengaluru airport yesterday. I need a receipt for my trip. My contact number is 9342536551.,"Hello, Narendra. We've gone ahead and followed up with you via DM regarding this matter.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0030,Hi. I have three random $1 charges from uber in my PayPal account. What are these for?,Sorry to hear about that. Can you please send us a DM with your email address? From there we'll be able to assist further.,Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
UBER_0031,And why did I get charged before my ride even came to my location,We can definitely take a look. Kindly send us a note here; so our team can assist you.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0032,Or if you guys not able to resolve suggest me to leave uber servicee,"Thanks for getting back to us. We are unable to provide you with an ETA for a response. Reports are dressed in the order that they arrive. As soon as a response is sent out, you will receive and email notification as well.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0033,"diver cancels right outside my work no call, I call the support & basically get a ""sorry nothing we can do"" #poorservice #hungry",We'd like to follow up on this. Please send us a DM with your UberEATS account email address and phone number.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0034,can I get a cancelation fee refunded? I was just watching this lady turn the wrong way over and over dropping off someone before me,We can definitely take a closer look! Contact us here; so we can help.,Drop-off / Route Issue,AUTO_HANDLE,"route review, trip history, fare review, DM",Inefficient route or incorrect drop-off location report.
UBER_0035,What about kindly checking your inbox? The details are all in there. It wouldn’t spend more of your time would it?,"We have responded to your DM, please let us know if you need anything else.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0036,you can check through the message sent to see the picture of what i see if i try to open the app,We've sent you an email. Please respond with the requested information so we can follow up.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0037,This uber driver is the worse...omg!!! Lord please get us to Brooklyn safely!! #Uber,We can definitely follow up! Send us a note here; so our team can connect.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0038,"Currently experiencing the most uncomfortable ride ever! I’d cancel my ride, but we’re stuck in traffic on a highway! Ugh",Sorry for the delay. Let's get another pair of eyes on your support request. Please send us a DM with your Uber account email address.,Safety Concern,ESCALATE,"safety, investigate, direct message, contact details, support team","Critical safety alert involving passenger safety, harassment, or physical accident requiring immediate human investigation."
UBER_0039,".I've been charged double, 806,the normal fare for my trip t'day Whereas estimated fare was 498.Toll charged thrice? Need explanation.",Here to help! Send us a note via and we'll be in touch.,Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
UBER_0040,I have disputed my background check and now its clear. Would you please approve my profile.,We're here to help! Please send us a note here; so our team can connect.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0041,Hello . I want to email the company in America for its importance. Thankyo,"Happy to help! To better assist you, please reach out here: and it will be routed to the appropriate department.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0042,Is there a way to get a trip receipt as a one page PDF?,Hey Cameron! Please visit the link for more info on retrieving trip receipts,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0043,you serious with this pool pickup? Your service is becoming worse every day.,Happy to help! Please reach out to and fill out the 4 boxes at the bottom so we can get in touch.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0044,help me out here! Black Friday waiting in line and just need some food/coffee but csnt lose my place in line! I'm in the zone but you won't feed me. #HelpMeOut #BlackFriday2017 #GROWL #Please,We're here to help. Send us a DM with your email address so we can connect right away.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0045,Hi no revert yet!! Hope you have woken up!,"Sorry for the delay, Sakshi. Our team is reviewing your email now and will be in touch. We appreciate your patience!",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0046,Why does the driver always have a different address from the one I entered???,"We're here to help, Caroline. Contact us via so we can assist.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0047,"After contacting you concerning deactivation of my account, it was reactivated but after 48 hrs, ,it has been been deactivated. Please help",Hello! Thanks for your patience. Please check your DM ( direct messages) for our reply.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0048,we should be able to pay outstanding balance for a previous trip directly in the app - shouldn't have to simulate another trip just to get the balance displayed. Rather convoluted design.,Here to help! Send us a note at so our team can connect right away.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0049,Why would you allow the source and destination to be same? I think the customer should be flagged if such selection is made.,Hi there! Please reach out to and fill out the boxes at the bottom so we can get in touch.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0050,Do you have to have an account to ask questions?,"Hey, there! You don't need an account to ask us questions, however, you either need to reach us through our in-app support portal or DM us so we can provide you the best answer's possible. Thank's for understanding.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0051,was trying to pay from PayPal. Uber ac locked. Pls unlck my ac. Last ride from Mexico City pH: +52 (55) 3145 2800,Thanks for reaching out to us about this. Please reach out to us directly using this link and leave a brief note.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0052,There are no such options in you app based customer support...I don't know why u guys even call it a support where as UBER is not at all customer friendly...,We're here to help! Send us a DM with your email address so we can follow up.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0053,Watched and waited as my driver circled around the same block for 10 minutes Had to cancel the ride which cost me $2....,Sorry to hear about the trouble! Please send us a message at with the details and we'll follow up.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0054,So charges 15$ to return a lost item!? You guys are fucking greedy man.,"Drivers are independent contractors and this is to compensate them for their time. The entire fee is passed on to the driver, not Uber.",Lost Item,AUTO_HANDLE,"help section, lost item, driver contact, app, retrieve",Standard self-service lost item retrieval workflow via Uber app Help section.
UBER_0055,"I only took one ride with an Uber last night, but my online banking shows I was charged for two rides. I was charged $13.76 for the ride I took and an additional $8.40. I only received an email receipt for the $13.76 ride. Can you please advise?",Here to help! Send us a note via so our team can connect.,Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
UBER_0056,"Thanks for you prompt action but Still I am unable to login. When I am clicking the right arrow for agreeing the terms and conditions, the app is bringing me back to the name page.The same thing is getting repeated again and again.Screen shot has been attached. Please help me.",A member of our team responded to your in-app support inquiry. Please follow up with us there if you have any additional questions. You can view your in-app support messages through your Uber account email address. Be sure to check your spam and junk folders if necessary.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0057,; ; Pathetic service by Uber. Amount deducted from PAYTM and cash was also collected by Driver. Uber is not ready to acknolwedge the error and reimburse the double payment. They want to avoid the situation and are not responding at all,We can take a look! Send us a DM with your email address so we can follow up.,Refund Request,ESCALATE,"refund, review, trip details, fare adjustment, DM",Explicit demand for monetary refund or fee reversal requiring billing team action.
UBER_0058,It’s no good crediting my account with £4 as I don’t live in a major city n i wouldn’t trust Uber again !!,We apologize for the trouble! Please DM us your email address and we'll follow up.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0059,how does Uber define a long pickup?,Happy to help! Please reach out to and fill out the 4 boxes at the bottom so we can get in touch.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0060,Very upsetting that this company does not provide refunds for terrible fares. Very unacceptable...,We're here to help! Send us a DM (direct message) with your email address so we can connect.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0061,"Hi Uber, I slept thru my scheduled ride today. The driver cancelled, but I'd like to tip him. How can I do that?",Will you please DM us with your email address associated with your account? We'll look into it.,Pickup Problem,AUTO_HANDLE,"apologize, contact us, DM, trip details, team connect","Driver dispatch, no-show, or delayed arrival inquiry handled via standard assistance."
UBER_0062,"Still wondering if anybody from Uber is going to help me to recover my medical files. Looking at the way is responding/not responding, it feels they don’t care for whatever happens after they have collected money from the customer. Long way to go","We've followed up within your Direct Messages, Alok!",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
