conversation_id,customer_message,intent,escalation,reply_keywords,ground_truth_notes
GOLDEN_001,Somebody is using my account illegally . Your app and website do not address these issues . I have changed the password 5 times,Account Access / Security,ESCALATE,"account email, phone number, sign in, verify, DM","Account credentials, lockouts, or security issues requiring human agent identity verification."
GOLDEN_002,"Still waiting for the reply :/ Need to get this fixed ASAP cuz im going on a huge trip tomorrow that I have been planning, need uber working",Pickup Problem,AUTO_HANDLE,"apologize, contact us, DM, trip details, team connect","Driver dispatch, no-show, or delayed arrival inquiry handled via standard assistance."
GOLDEN_003,any particular reason surge pricing doesn't show up always when I am in one?,Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
GOLDEN_004,Its ok But I can't remove my card from payment in app,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_005,can you fix the navigation for your drivers. I feel like my driver is lost and driving in circles,Drop-off / Route Issue,AUTO_HANDLE,"route review, trip history, fare review, DM",Inefficient route or incorrect drop-off location report.
GOLDEN_006,"I took a video of the driver surfing FB but don't want to post it here in public. Will send it to you thru the Uber app. Obviously you have work to do in training your drivers on traffic rules, safety and service!",Safety Concern,ESCALATE,"safety, investigate, direct message, contact details, support team","Critical safety alert involving passenger safety, harassment, or physical accident requiring immediate human investigation."
GOLDEN_007,1 star ✨ to my driver who refused to take me to the drive thru.,Driver Complaint,ESCALATE,"driver feedback, safety team, apologize, report, DM",Interpersonal conduct or quality complaint against driver partner requiring review.
GOLDEN_008,I requested for CAB by giving my Mobile number + 91 7708719692 CAR NO : Ends with 1343 and i booked from My indian number : +91 7708719692 Provide me the Mobile number of the driver.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_009,"this is strange, the money got debited from my bank account and yet I am being asked to pay for the previous trip before I can book the next one. Plz check this asap",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_010,can I please have a full refund?,Refund Request,ESCALATE,"refund, review, trip details, fare adjustment, DM",Explicit demand for monetary refund or fee reversal requiring billing team action.
GOLDEN_011,"I have completed hundreds of trips. The problem is with your #WindowsPhone app, and u took away the ability to see rating thru website",Driver Complaint,ESCALATE,"driver feedback, safety team, apologize, report, DM",Interpersonal conduct or quality complaint against driver partner requiring review.
GOLDEN_012,are the Boston ride passes already sold out?,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_013,It's so sad to see that I need to put in all the efforts to contact you guys for the unprofessionalism.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_014,I need to call a driver for lost item. It was not my phone and I did not pay the ride. Do you have a number,Lost Item,AUTO_HANDLE,"help section, lost item, driver contact, app, retrieve",Standard self-service lost item retrieval workflow via Uber app Help section.
GOLDEN_015,What about kindly checking your inbox? The details are all in there. It wouldn’t spend more of your time would it?,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_016,Please help me with my Business travel report for June July & Aug. I haven't received for this duration. Thanks,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_017,"DONE with your scams. Deleting my app for good after so many fake surges, long out of the way routes and rude drivers #hellolyft",Driver Complaint,ESCALATE,"driver feedback, safety team, apologize, report, DM",Interpersonal conduct or quality complaint against driver partner requiring review.
GOLDEN_018,So how does UberEats work? Does the person ordering pay online to the vendor and to the driver? Or is payment due...,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_019,"How is a blind person supposed to contact uber if they have left something in a car, no phone for you or anything",Lost Item,AUTO_HANDLE,"help section, lost item, driver contact, app, retrieve",Standard self-service lost item retrieval workflow via Uber app Help section.
GOLDEN_020,one of your drivers just demanded £10 in cash of me and to top him £10 on the app for waiting! He was very Disrespect and unprofessional.,Driver Complaint,ESCALATE,"driver feedback, safety team, apologize, report, DM",Interpersonal conduct or quality complaint against driver partner requiring review.
GOLDEN_021,I already send 3 claims and they told me sorry too! We made a sue in a Miami Spring Police and Miami Dade,Safety Concern,ESCALATE,"safety, investigate, direct message, contact details, support team","Critical safety alert involving passenger safety, harassment, or physical accident requiring immediate human investigation."
GOLDEN_022,seriously? You've cancelled on ME 3 times and I've been standing in an easy location away from Fenway park. You try to do the right,Pickup Problem,AUTO_HANDLE,"apologize, contact us, DM, trip details, team connect","Driver dispatch, no-show, or delayed arrival inquiry handled via standard assistance."
GOLDEN_023,have not seen fare payment since 4:50pm EST. What the hell? And I don’t know if I met my goal or not.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_024,"Asides keeping mute on our compromised data, your drivers in Ghana don't know how to use Google Maps. 🤨",Account Access / Security,ESCALATE,"account email, phone number, sign in, verify, DM","Account credentials, lockouts, or security issues requiring human agent identity verification."
GOLDEN_025,How can be so hard to fix a problem? They sent me 6 times the same wrong receipt. This is so unprofessional and disrespectful.,Driver Complaint,ESCALATE,"driver feedback, safety team, apologize, report, DM",Interpersonal conduct or quality complaint against driver partner requiring review.
GOLDEN_026,"I didn’t even get a reply message assuring me for the investigation of the matter,very unprofessional,Iam deleting the app right now goodbye",Driver Complaint,ESCALATE,"driver feedback, safety team, apologize, report, DM",Interpersonal conduct or quality complaint against driver partner requiring review.
GOLDEN_027,"Forgot glasses, the driver called to give them back and one week after he doesn't want to. Is it this kind of service you providing ?",Lost Item,AUTO_HANDLE,"help section, lost item, driver contact, app, retrieve",Standard self-service lost item retrieval workflow via Uber app Help section.
GOLDEN_028,"I never revived my food, and had a SUPER RUDE delivery, where he said I got my food, and you guys haven't contacted me yet! Grr",Driver Complaint,ESCALATE,"driver feedback, safety team, apologize, report, DM",Interpersonal conduct or quality complaint against driver partner requiring review.
GOLDEN_029,Uber express picked 6:08am ride then called asking for destination. Felt unsafe to give over phone.He hung up & canceled ride!,Safety Concern,ESCALATE,"safety, investigate, direct message, contact details, support team","Critical safety alert involving passenger safety, harassment, or physical accident requiring immediate human investigation."
GOLDEN_030,Hi my driver dropped me off and texted me this picture?? I don't know what she means. I'd like to file a complaint.,Drop-off / Route Issue,AUTO_HANDLE,"route review, trip history, fare review, DM",Inefficient route or incorrect drop-off location report.
GOLDEN_031,Wow thanks for charging me on a ride I never took because my driver cancelled on me,Pickup Problem,AUTO_HANDLE,"apologize, contact us, DM, trip details, team connect","Driver dispatch, no-show, or delayed arrival inquiry handled via standard assistance."
GOLDEN_032,Oh wait! 4th driver cancelled. I’m over it. They all call and if they don’t like where you’re going or you don’t answer they cancel.,Pickup Problem,AUTO_HANDLE,"apologize, contact us, DM, trip details, team connect","Driver dispatch, no-show, or delayed arrival inquiry handled via standard assistance."
GOLDEN_033,complaints made but to no avail. Please provide an update and refund the amount to them for this bad experience.,Refund Request,ESCALATE,"refund, review, trip details, fare adjustment, DM",Explicit demand for monetary refund or fee reversal requiring billing team action.
GOLDEN_034,a friend who doesn't have social media left something in her Uber. It's been 2 days and nobody has responded. Can you assist?,Lost Item,AUTO_HANDLE,"help section, lost item, driver contact, app, retrieve",Standard self-service lost item retrieval workflow via Uber app Help section.
GOLDEN_035,Bru why tf would I spend 146$ on a uber ride ?! I kould go get a rental for da day with dat bullshit !,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_036,"Not happy, we're given a discount for a very late order and the code expired with no expiration date shown",App Technical Issue,AUTO_HANDLE,"update app, restart, clear cache, promo details, support note","Technical app bug, UI crash, or promo code application error."
GOLDEN_037,My order was just dropped off and it was wrong. Contacted the store and they said Uber was responsible. Now I’m out $13 and have no dinner.,Drop-off / Route Issue,AUTO_HANDLE,"route review, trip history, fare review, DM",Inefficient route or incorrect drop-off location report.
GOLDEN_038,yet another night of complaints. This time my driver drove the wrong way!!! I called customer service. Unacceptable!,Drop-off / Route Issue,AUTO_HANDLE,"route review, trip history, fare review, DM",Inefficient route or incorrect drop-off location report.
GOLDEN_039,drive went straight past me and then cancelled as I wasn’t about 😂🙄,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_040,please help I've been stood outside since 8am I left my driver he said he was going to bring them. I've called him about 50 times and left about 10 messages. I'm in tears this is disgusting I'm cold and wet and have a baby with me.please help get my keys back to me,Lost Item,AUTO_HANDLE,"help section, lost item, driver contact, app, retrieve",Standard self-service lost item retrieval workflow via Uber app Help section.
GOLDEN_041,I left my phone in an uber and I have been ringing the driver and he won't answer the phone. I have been tracking my phone and,Lost Item,AUTO_HANDLE,"help section, lost item, driver contact, app, retrieve",Standard self-service lost item retrieval workflow via Uber app Help section.
GOLDEN_042,complete sh** show ATL airport. Worst Uber experience ever.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_043,driver cancelled on me after waiting half an hour and prices surged. Give me a refund,Refund Request,ESCALATE,"refund, review, trip details, fare adjustment, DM",Explicit demand for monetary refund or fee reversal requiring billing team action.
GOLDEN_044,"Hey, could you reply to my DM please, I think you've charged me twice",Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
GOLDEN_045,tn was very eventful... got stuck in elevator and had to call police to get us out and then our uber got in a car accident... all in 3 hours,Safety Concern,ESCALATE,"safety, investigate, direct message, contact details, support team","Critical safety alert involving passenger safety, harassment, or physical accident requiring immediate human investigation."
GOLDEN_046,can i use my visa card to pay for excess amount in a free ride of upto 250/=? Do free rides only apply in cash?,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_047,My drivers phone completely froze so I had to direct him. I finished my ride but his phone was restarting when I left. I better not be charged more.,Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
GOLDEN_048,"Quick question . When i book uberPool and my cab passes through a toll, do you charge ever rider the entire toll amount?",Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
GOLDEN_049,If I’m the first person in an Uber pool why the fuck do I get dropped off last?! Turned a 20 minute ride into an hour+ long inconvenience. about to miss my flight and shit. 🙄,Drop-off / Route Issue,AUTO_HANDLE,"route review, trip history, fare review, DM",Inefficient route or incorrect drop-off location report.
GOLDEN_050,I left my mobile phone in the Uber car I took 30mins ago. Could you please help me connect to the driver.,Lost Item,AUTO_HANDLE,"help section, lost item, driver contact, app, retrieve",Standard self-service lost item retrieval workflow via Uber app Help section.
GOLDEN_051,"Currently experiencing the most uncomfortable ride ever! I’d cancel my ride, but we’re stuck in traffic on a highway! Ugh",Safety Concern,ESCALATE,"safety, investigate, direct message, contact details, support team","Critical safety alert involving passenger safety, harassment, or physical accident requiring immediate human investigation."
GOLDEN_052,logic..1) If driver cancels u pay. 2) If u cancel .. U pay because 'drivers time is wasted' So my tym has no value ?? #UberCheats,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_053,"Absolutely fuming. Last week my order takes 90 minutes to arrive, this week it gets cancelled out of the blue after waiting for over 70 minutes. Service has been absolutely terrible lately.",Pickup Problem,AUTO_HANDLE,"apologize, contact us, DM, trip details, team connect","Driver dispatch, no-show, or delayed arrival inquiry handled via standard assistance."
